Attendance,Study_Hours,Previous_Marks,Assignment_Marks,Internal_Marks,Final_Marks
88,4.4,85,85,90,92.08
78,5.8,71,52,84,91.15
64,2.9,56,79,52,69.23
92,2.7,91,81,43,81.18
57,2.2,63,48,40,53.9
70,2.5,48,89,88,78.59
88,4.9,62,66,79,78.91
68,3.8,39,97,71,72.54
72,1.5,81,41,73,72.7
60,2.8,83,44,67,70.97
60,2.7,64,68,70,75.92
73,5.9,80,76,47,82.73
85,6.0,86,77,78,97.57
89,2.0,39,58,65,67.37
73,8.0,46,47,73,79.62
52,2.9,50,87,93,77.45
71,7.8,60,84,93,97.65
51,3.9,60,40,42,61.25
73,1.2,82,61,89,83.01
93,3.4,55,91,51,80.65
79,5.4,73,56,40,78.98
87,5.8,70,46,93,90.94
51,4.7,67,64,83,77.17
70,4.1,64,84,44,74.37
82,4.9,71,43,69,81.3
61,5.1,57,75,69,81.98
71,1.6,92,45,56,76.91
93,3.6,44,99,87,86.24
74,2.7,88,70,86,88.69
98,6.6,39,58,62,74.42
76,4.3,70,100,54,81.06
91,7.9,68,83,76,98.43
77,3.8,86,93,60,81.76
65,6.7,65,78,53,83.83
64,6.6,44,66,41,73.1
96,2.1,92,49,50,73.17
100,4.6,53,65,90,82.6
93,5.9,92,58,78,98.34
52,7.0,66,78,77,84.05
86,3.3,35,42,73,66.68
100,2.5,90,84,77,93.23
56,6.0,39,52,89,71.28
70,6.7,79,89,73,97.52
58,3.4,38,67,57,61.94
88,1.7,50,97,69,72.92
67,7.6,58,59,54,82.27
53,3.8,50,67,66,65.92
74,4.6,89,47,90,87.77
63,6.9,36,100,73,79.9
99,5.7,83,80,91,100.0
58,6.1,62,78,77,84.95
75,2.5,66,40,72,74.04
51,4.8,61,42,63,70.3
69,5.9,54,52,54,72.88
77,2.6,58,67,69,71.23
96,2.2,46,96,94,81.36
56,7.9,84,99,81,100.0
93,4.6,69,88,90,95.18
57,2.8,94,64,56,80.16
96,8.0,67,95,44,84.98
84,7.8,67,72,68,89.45
63,4.9,95,77,43,88.27
66,7.2,85,92,49,91.11
85,2.3,77,45,95,85.84
99,3.0,71,97,56,85.62
89,5.9,46,83,49,82.43
53,6.9,37,84,56,76.19
51,7.0,35,71,59,63.56
55,3.8,67,84,63,71.82
91,7.2,74,100,44,85.46
53,7.0,44,86,73,76.06
78,7.5,77,60,45,83.96
67,6.5,78,55,92,93.53
75,5.7,63,93,41,72.96
93,5.1,47,60,52,66.8
83,3.6,46,50,82,71.51
59,7.6,65,99,82,95.75
85,7.8,80,76,87,100.0
63,3.0,36,75,50,64.07
80,3.1,95,74,90,95.0
97,4.4,85,58,86,97.13
64,4.1,84,59,62,82.93
57,8.0,69,96,94,96.66
63,2.2,57,57,55,64.26
72,1.1,51,86,70,70.88
89,4.5,60,80,50,74.32
70,2.3,42,88,93,80.48
65,3.6,63,53,55,68.38
94,6.2,60,54,47,77.76
67,6.0,44,70,43,64.36
96,3.2,60,40,79,75.56
73,4.8,68,92,43,70.51
75,4.6,85,93,95,98.87
74,5.5,75,93,64,95.47
94,2.8,41,42,42,55.99
90,5.1,38,55,71,82.53
78,7.9,92,62,42,93.69
64,4.4,87,96,66,87.03
94,7.3,84,50,68,94.43
